Order	Song	Info	Concert	Date
3	My Generation		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
4	Livin' It Up		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
5	Rollin' (Air Raid Vehicle)		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
6	My Way		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
7	Faith	(George Michael cover) (Song stopped in order for medical assistance to be provided to a fan)	Limp Bizkit at Good Things Melbourne 2023	2023-12-01
8	Nookie		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
9	Full Nelson		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
10	Take a Look Around		Limp Bizkit at Good Things Melbourne 2023	2023-12-01
11	Break Stuff	(Reprise)	Limp Bizkit at Good Things Melbourne 2023	2023-12-01
1	My Generation		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
2	Hot Dog		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
3	9 Teen 90 Nine		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
4	Rollin' (Air Raid Vehicle)		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
5	Gold Cobra		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
6	Thieves	(Ministry cover) (partial)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
7	My Way		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
8	Faith	(George Michael cover)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
9	Take a Look Around	(with 'Turn It Up, Bitch' tease intro)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
10	Nookie	(until the bridge)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
11	Full Nelson		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
12	Boiler		Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
13	Re-Arranged	(with 'Sour' tease intro)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
14	Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
15	Break Stuff	(With Yukina from Hanabie.)	Limp Bizkit at Hordern Pavilion, Sydney, Australia	2023-11-29
1	Show Me What You Got		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
2	9 Teen 90 Nine		Limp Bizkit at Spark Arena, Auckland, New Zealand	2023-11-26
