Song	Notes	Show
My Way		Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Counterfeit		Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Stuck		Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Just Like This	(first performance with Fred doing all vocals since 2009)	Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Faith	(George Michael cover)	Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Behind Blue Eyes	(The Who cover)	Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Rollin' (Air Raid Vehicle)		Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Take a Look Around		Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Break Stuff		Limp Bizkit at The Orbit Room, Grand Rapids, MI, USA
Show Me What You Got		Limp Bizkit at House of Blues, Cleveland, OH, USA
Hot Dog		Limp Bizkit at House of Blues, Cleveland, OH, USA
Why Try		Limp Bizkit at House of Blues, Cleveland, OH, USA
Bring It Back		Limp Bizkit at House of Blues, Cleveland, OH, USA
My Generation		Limp Bizkit at House of Blues, Cleveland, OH, USA
Livin' It Up		Limp Bizkit at House of Blues, Cleveland, OH, USA
Stuck		Limp Bizkit at House of Blues, Cleveland, OH, USA
I'm Broke		Limp Bizkit at House of Blues, Cleveland, OH, USA
My Way		Limp Bizkit at House of Blues, Cleveland, OH, USA
Eat You Alive		Limp Bizkit at House of Blues, Cleveland, OH, USA
Re-Arranged		Limp Bizkit at House of Blues, Cleveland, OH, USA
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at House of Blues, Cleveland, OH, USA
Gold Cobra		Limp Bizkit at House of Blues, Cleveland, OH, USA
Full Nelson		Limp Bizkit at House of Blues, Cleveland, OH, USA
Behind Blue Eyes	(The Who cover)	Limp Bizkit at House of Blues, Cleveland, OH, USA
Take a Look Around		Limp Bizkit at House of Blues, Cleveland, OH, USA
Break Stuff		Limp Bizkit at House of Blues, Cleveland, OH, USA
Counterfeit	(first time opening a show since 1999, until the second chorus)	Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Show Me What You Got		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Leech		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Pollution		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Bring It Back		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
My Generation		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Livin' It Up		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
I'm Broke		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Faith	(George Michael cover) (fan request, Fred sang a few lines of 'Lady' by Styx before asking for requests)	Limp Bizkit at Town Ballroom, Buffalo, NY, USA
The Truth		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Sour	(aborted after first half)	Limp Bizkit at Town Ballroom, Buffalo, NY, USA
My Way		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Re-Arranged		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Killing in the Name	(Rage Against the Machine cover) (with Ryan Campbell)	Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Covers Medley	(South of Heaven / Star Wars Theme / The Simpsons Theme / Alive / All Apologies)	Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Gold Cobra	(with a fan)	Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Rollin' (Air Raid Vehicle)		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Take a Look Around		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Break Stuff		Limp Bizkit at Town Ballroom, Buffalo, NY, USA
Why Try		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Bring It Back		Limp Bizkit at Bogart's, Cincinnati, OH, USA
The Truth		Limp Bizkit at Bogart's, Cincinnati, OH, USA
I'm Broke		Limp Bizkit at Bogart's, Cincinnati, OH, USA
My Generation		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Livin' It Up		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Don't Go Off Wandering	(First time since 1999)	Limp Bizkit at Bogart's, Cincinnati, OH, USA
Pollution		Limp Bizkit at Bogart's, Cincinnati, OH, USA
My Way		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Covers Medley	(Alive/Airbag/Smells Like Teen Spirit/Fight For Your Right/Killing in the Name)	Limp Bizkit at Bogart's, Cincinnati, OH, USA
Rollin' (Air Raid Vehicle)		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Boiler		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Gold Cobra		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Eat You Alive		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Take a Look Around		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Faith	(George Michael cover)	Limp Bizkit at Bogart's, Cincinnati, OH, USA
Break Stuff		Limp Bizkit at Bogart's, Cincinnati, OH, USA
Rollin' (Air Raid Vehicle)		Limp Bizkit at Carolina Rebellion 2013
The Truth		Limp Bizkit at Carolina Rebellion 2013
Hot Dog		Limp Bizkit at Carolina Rebellion 2013
My Generation		Limp Bizkit at Carolina Rebellion 2013
Livin' It Up		Limp Bizkit at Carolina Rebellion 2013
My Way		Limp Bizkit at Carolina Rebellion 2013
Re-Arranged	(Until the bridge)	Limp Bizkit at Carolina Rebellion 2013
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Carolina Rebellion 2013
Thieves	(Ministry cover)	Limp Bizkit at Carolina Rebellion 2013
Nookie		Limp Bizkit at Carolina Rebellion 2013
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Carolina Rebellion 2013
Break Stuff	(Fred asked the crowd to pick between Break Stuff & Take A Look Around)	Limp Bizkit at Carolina Rebellion 2013
Rollin' (Air Raid Vehicle)		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Why Try		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
The Truth		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Hot Dog		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
My Generation		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Livin' It Up		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Gold Cobra		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Re-Arranged	(Until the bridge)	Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
My Way		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
I'm Broke	(with South of Heaven by Slayer and Wicked by Ice Cube intro jams)	Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Nookie		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Behind Blue Eyes	(The Who cover) (replaced Hold On that was on the setlist)	Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Stuck	(wasn't on the setlist but played due to requests from the crowd)	Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Eat You Alive		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Take a Look Around		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Break Stuff		Limp Bizkit at Rams Head Live!, Baltimore, MD, USA
Show Me What You Got		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Gold Cobra		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Pollution		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
My Generation		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Livin' It Up		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Bring It Back		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Leech	(Fred rapped the first few lines of Wicked by Ice Cube during the ending)	Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
The Propaganda		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Stuck		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
My Way		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Boiler		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Counterfeit	(Only until beginning of first chorus due to Fred messing up the lyrics twice)	Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
I'm Broke		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
It'll Be OK		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Covers Medley	(Master of Puppets/Smells Like Teen Spirit/Fight for Your Right)	Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Thieves	(Ministry cover) (Short version)	Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Take a Look Around		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Break Stuff		Limp Bizkit at The Theatre of Living Arts, Philadelphia, PA, USA
Rollin' (Air Raid Vehicle)		Limp Bizkit at The Paramount, Huntington, NY, USA
Hot Dog		Limp Bizkit at The Paramount, Huntington, NY, USA
My Generation		Limp Bizkit at The Paramount, Huntington, NY, USA
Livin' It Up		Limp Bizkit at The Paramount, Huntington, NY, USA
My Way		Limp Bizkit at The Paramount, Huntington, NY, USA
Ready to Go		Limp Bizkit at The Paramount, Huntington, NY, USA
Ready to Go		Limp Bizkit at The Paramount, Huntington, NY, USA
Bring It Back		Limp Bizkit at The Paramount, Huntington, NY, USA
Eat You Alive		Limp Bizkit at The Paramount, Huntington, NY, USA
I'm Broke		Limp Bizkit at The Paramount, Huntington, NY, USA
Sour	(First performance since 1999)	Limp Bizkit at The Paramount, Huntington, NY, USA
Re-Arranged	(Until the bridge)	Limp Bizkit at The Paramount, Huntington, NY, USA
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at The Paramount, Huntington, NY, USA
Behind Blue Eyes	(The Who cover)	Limp Bizkit at The Paramount, Huntington, NY, USA
Take a Look Around		Limp Bizkit at The Paramount, Huntington, NY, USA
Faith	(George Michael cover)	Limp Bizkit at The Paramount, Huntington, NY, USA
Break Stuff		Limp Bizkit at The Paramount, Huntington, NY, USA
Ready to Go	(First full performance)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
The Truth		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
The Propaganda	(Live premiere)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Counterfeit	(Until the bridge, was not on the setlist)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Leech	(First time live since 1998)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Bring It Back		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Why Try		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Stalemate	(First known performance)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Livin' It Up		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
It'll Be OK		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Everything	(Instrumental jam)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
I Would for You	(Jane’s Addiction cover) (First full performance since 2001)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Stuck	(First full performance since 2000)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
I'm Broke		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Full Nelson		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Break Stuff		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Take a Look Around		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Covers Medley	(All Apologies/Smells Like Teen Spirit/Fight for Your Right)	Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Hot Dog		Limp Bizkit at The Stone Pony, Asbury Park, NJ, USA
Show Me What You Got		Limp Bizkit at Welcome to Rockville 2013
My Generation		Limp Bizkit at Welcome to Rockville 2013
Livin' It Up		Limp Bizkit at Welcome to Rockville 2013
Hot Dog		Limp Bizkit at Welcome to Rockville 2013
My Way		Limp Bizkit at Welcome to Rockville 2013
Re-Arranged	(Until the bridge)	Limp Bizkit at Welcome to Rockville 2013
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Welcome to Rockville 2013
Break Stuff		Limp Bizkit at Welcome to Rockville 2013
Nookie		Limp Bizkit at Welcome to Rockville 2013
Eat You Alive		Limp Bizkit at Welcome to Rockville 2013
Take a Look Around		Limp Bizkit at Welcome to Rockville 2013
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Welcome to Rockville 2013
Faith	(George Michael cover)	Limp Bizkit at Welcome to Rockville 2013
The Truth		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Show Me What You Got		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
My Generation		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Livin' It Up		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Hot Dog		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Gold Cobra		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Bring It Back		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
My Way		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Re-Arranged	(Until the bridge)	Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Killing in the Name	(Rage Against the Machine cover)	Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Break Stuff		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Hold On	(Live premiere)	Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Covers Medley	(Smells Like Teen Spirit / Fight for Your Right / Alive, with fan on vocals for Alive)	Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Rollin' (Air Raid Vehicle)		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Take a Look Around		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Ready to Go	(Live premiere, until Lil Wayne's part, duet with fan)	Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Eat You Alive		Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Revolution Live, Fort Lauderdale, FL, USA
The Truth		Limp Bizkit at Graspop Metal Meeting 2012
My Generation		Limp Bizkit at Graspop Metal Meeting 2012
Hot Dog		Limp Bizkit at Graspop Metal Meeting 2012
Livin' It Up		Limp Bizkit at Graspop Metal Meeting 2012
Gold Cobra		Limp Bizkit at Graspop Metal Meeting 2012
My Way		Limp Bizkit at Graspop Metal Meeting 2012
Thieves	(Ministry cover)	Limp Bizkit at Graspop Metal Meeting 2012
Eat You Alive		Limp Bizkit at Graspop Metal Meeting 2012
Smells Like Teen Spirit	(Nirvana cover) (followed by Holy Wars / Master Of Puppets bridge jam)	Limp Bizkit at Graspop Metal Meeting 2012
Break Stuff		Limp Bizkit at Graspop Metal Meeting 2012
Nookie		Limp Bizkit at Graspop Metal Meeting 2012
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Graspop Metal Meeting 2012
Take a Look Around		Limp Bizkit at Graspop Metal Meeting 2012
Faith	(George Michael cover)	Limp Bizkit at Graspop Metal Meeting 2012
Rollin' (Air Raid Vehicle)		Limp Bizkit at Graspop Metal Meeting 2012
The Truth		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Gold Cobra		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Bring It Back		Limp Bizkit at Rodahal, Kerkrade, Netherlands
My Generation		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Livin' It Up		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Douche Bag		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Smells Like Teen Spirit	(Nirvana cover) (Followed by cover jam of Holy Wars... The Punishment Due / Raining Blood / Master of Puppets)	Limp Bizkit at Rodahal, Kerkrade, Netherlands
9 Teen 90 Nine		Limp Bizkit at Rodahal, Kerkrade, Netherlands
My Way		Limp Bizkit at Rodahal, Kerkrade, Netherlands
It'll Be OK		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Break Stuff		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Get a Life		Limp Bizkit at Rodahal, Kerkrade, Netherlands
I'm Broke		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Boiler		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Take a Look Around		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Nookie		Limp Bizkit at Rodahal, Kerkrade, Netherlands
Faith	(George Michael cover)	Limp Bizkit at Rodahal, Kerkrade, Netherlands
Rollin' (Air Raid Vehicle)		Limp Bizkit at Rodahal, Kerkrade, Netherlands
The Truth		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Gold Cobra		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Bring It Back		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Bring It Back		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Bring It Back		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
My Generation		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Livin' It Up		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Douche Bag		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
9 Teen 90 Nine		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
My Way		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Just Like This		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
It'll Be OK		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Break Stuff		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Take a Look Around		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Nookie		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
Rollin' (Air Raid Vehicle)		Limp Bizkit at Paradiso Grote Zaal, Amsterdam, Netherlands
The Truth		Limp Bizkit at Stadtpark Open Air 2012
Gold Cobra		Limp Bizkit at Stadtpark Open Air 2012
Bring It Back		Limp Bizkit at Stadtpark Open Air 2012
9 Teen 90 Nine		Limp Bizkit at Stadtpark Open Air 2012
Livin' It Up		Limp Bizkit at Stadtpark Open Air 2012
My Way		Limp Bizkit at Stadtpark Open Air 2012
Eat You Alive		Limp Bizkit at Stadtpark Open Air 2012
Hot Dog	(w/ fan on guitar)	Limp Bizkit at Stadtpark Open Air 2012
Break Stuff		Limp Bizkit at Stadtpark Open Air 2012
I'm Broke		Limp Bizkit at Stadtpark Open Air 2012
Boiler		Limp Bizkit at Stadtpark Open Air 2012
Nookie		Limp Bizkit at Stadtpark Open Air 2012
Douche Bag		Limp Bizkit at Stadtpark Open Air 2012
Faith	(George Michael cover)	Limp Bizkit at Stadtpark Open Air 2012
Behind Blue Eyes	(The Who cover) (interrupted)	Limp Bizkit at Stadtpark Open Air 2012
My Generation		Limp Bizkit at Stadtpark Open Air 2012
Take a Look Around		Limp Bizkit at Stadtpark Open Air 2012
The Truth		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Gold Cobra		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Bring It Back		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
9 Teen 90 Nine		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Livin' It Up		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
My Way		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Eat You Alive		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
It'll Be OK		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Smells Like Teen Spirit	(Nirvana cover)	Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Break Stuff		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Behind Blue Eyes	(The Who cover)	Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Thieves	(Ministry cover)	Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Get a Life		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Take a Look Around		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Rollin' (Air Raid Vehicle)		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Faith	(George Michael cover)	Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
My Generation		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
Nookie		Limp Bizkit at Freilichtbühne Großer Garten Junge Garde, Dresden, Germany
